No,Destination Name,Address,Subdistrict,Regency,Latitude,Longitude,Category 1,Category 2,Category 3,Rating,Google Reviews (Count),Source,Tourist Entry
,Palmilla Bali Beach Club,"Ungasan, South Kuta, Badung, Bali",Kuta Selatan,Badung,-8.8479375,115.1576875,Beachside,Beach Club,Vegan Dishes,44,3032,https://g.co/kgs/tM3Ry8a,250000
,Azul Beach Club Bali,"Jl. Padma No.2, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361",Kuta,Badung,-8.7072715,115.1664586,Beachside,Beach Club,Resort,45,2058,https://g.co/kgs/H6hQZKA,250000
,La Brisa Bali | Beach Club,"Jl. Pantai Batu Mejan, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",Kuta Utara,Badung,-8.6542178,115.1250199,Beachside,Beach Club,Restaurant,45,12810,https://g.co/kgs/Kz39Spn,350000
,The Beach Club at Courtyard by Marriott Bali Nusa Resort Dua,"Peninsula Beach, Nusa Dua, Benoa, South Kuta, Badung, Bali 80363",Kuta Selatan,Badung,-8.8026195,115.2359952,Beachside,Beach Club,Luxurious,45,430,https://g.co/kgs/gcwVGW2,450000
,Mïnoo Beach Club,"Jl. Pengayutan. Pantai Melasti, Ungasan, South Kuta, Badung, Bali",Kuta Selatan,Badung,-8.8482789,115.161177,Beachside,Beach Club,Bar,45,713,https://g.co/kgs/aiVvwam,250000
,Mari Beach Club Bali,"Jl. Batu Belig No.66, Kerobokan Kelod, Kec. Kuta Utara, Bali, 80361",Kuta Utara,Badung,-8.673399,115.146549,Beachside,Beach Club,Bar,45,1687,https://g.co/kgs/3QJRzSx,250000
,COMO Beach Club,"Jl. Pantai Batu Mejan, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",Kuta Utara,Badung,42.6115487,-88.4836683,Beachside,Beach Club,Live Music,45,821,https://g.co/kgs/NeiVoKo,250000
,Sundays Beach Club,"Jl. Pantai Sel. Gau Banjar Wijaya Kusuma, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80362",Kuta Selatan,Badung,-8.8471797,115.1507886,Beachside,Beach Club,Restaurant,45,3434,https://g.co/kgs/vz8Uy2Z,250000
,Kubu Beach Club,"AYANA Resort and Spa, Jl. Karang Mas Sejahtera, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80364",Kuta Selatan,Badung,-8.7879753,115.1330871,Beachside,Indonesian Food,Restaurant,44,188,https://g.co/kgs/jaKTVa6,250000
,Sakala Beach Club,"Jl. Pratama No.95, Tj. Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Kuta Selatan,Badung,-8.759307,115.2219883,Beachside,Resort,Restaurant,45,334,https://g.co/kgs/BdBHAk3,250000
,Infinity Beach Club," Seminyak, Bali, Badung, Bali 80361",Kuta,Badung,-8.6865921,115.1539623,Beachside,Beach Club,Live Music,45,137,https://g.co/kgs/QCtxMab,250000
,Reef Beach Club,"Jl. Raya Nusa Dua Selatan, Sawangan, Nusa Dua, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Kuta Selatan,Badung,-8.830053,115.2188139,Beachside,Beach Club,Vegan Dishes,45,330,https://g.co/kgs/8Pv2kzK,250000
,FINNS Beach Club,"Jl. Pantai Berawa No.99, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",Kuta Utara,Badung,-8.6667652,115.1393984,Beachside,Beach Club,Vegan Dishes,44,18000,https://g.co/kgs/LdLwuae,250000
,Vue Beach Club Canggu,"Jalan Pantai Berawa.100XX Tibubeneng, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",Kuta Utara,Badung,-8.6685411,115.1412829,Beachside,Beach Club,Vegan Dishes,43,980,https://g.co/kgs/mjz4GgG,250000
,White Rock Beach Club,"Pantai Melasti, Ungasan, South Kuta, Badung, Bali 80361",Kuta Selatan,Badung,-8.8480604,115.1571038,Beachside,Beach Club,Live Music,45,1270,https://g.co/kgs/XbNGeBU,250000
,Tropical Temptation Beach Club by Ini Vie Hospitality,"Melasti Beach 88, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Kuta Selatan,Badung,-8.8481875,115.1603802,Beachside,Beach Club,Restaurant,46,2878,https://g.co/kgs/Uo9wH1q,250000
,Roosterfish Beach Club,"Jl. Pantai Pandawa, Kutuh, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Kuta Selatan,Badung,-8.8438231,115.1881721,Beachside,Beach Club,Vegan Dishes,45,1267,https://g.co/kgs/UgfPXiv,250000
,Mano Beach House,"Jl. Pantai Pura Petitenget Kerobokan Kelod, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Bali",Kuta Utara,Badung,-8.6818525,115.1514855,Beachside,Beach Club,Restaurant,45,3000,https://g.co/kgs/YYkmXNy,250000
,Mazu Beach Club Bali," Pecatu, South Kuta, Badung, Bali 80361",Kuta Selatan,Badung,-8.7936733,115.122468,Beachside,Beach Club,Family Friendly,44,277,https://g.co/kgs/fiqyYNu,250000
,Jivva Beach Club,"Jalan By Pass Jl. Prof. Dr. Ida Bagus Mantra, Pantai Lepang, Kec. Klungkung, Kabupaten Klungkung, Bali 80752",Klungkung,Klungkung,-8.5738132,115.3841478,Beachside,Beach Club,Indonesian Food,45,293,https://g.co/kgs/uur7igh,
,Jimbaran Beach Club,"Jl. Pantai Muaya, Jimbaran, Kuta Selatan, Jl. Wanagiri No.1, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Kuta Selatan,Badung,-8.7817422,115.1631935,Beachside,Indonesian Food,Family Friendly,42,1223,https://g.co/kgs/y3VsjYS,
,La Plancha,"Jalan Mesari Beach, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361",Kuta,Badung,30.2793415,-97.7230631,Beachside,Beach Club,Bar,44,11826,https://bit.ly/3R1ZUbx,
,Beach Bar - Alila Seminyak,"Inside Alila Seminyak, Jl. Taman Ganesha Jl. Petitenget No.9A, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",Kuta Utara,Badung,-8.6801343,115.1501385,Beachside,Beach Club,Bar,47,694,https://bit.ly/3Vi8qVl,
,Cocoon Beach Club Seminyak,"Pantai Double Six, Jl. Arjuna No.66, Seminyak, Kuta, Badung, Bali 80361",Kuta,Badung,-8.6972771,115.1620901,Beachside,Beach Club,Restaurant,43,1128,https://bit.ly/3wQtAl3,
,Luna Beach Club,"Jl. Kayangan, Beraban, Kec. Kediri, Kabupaten Tabanan, Bali 82121",Kediri,Tabanan,-8.6305389,115.0999409,Beachside,Beach Club,Restaurant,41,302,https://bit.ly/3VgK5Ag,
,Pavilion Surf Club Legian Beach,"Jl. Pantai Double Six No.10, Legian, Kuta, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",Kuta Utara,Badung,-8.6990147,115.1626731,Beachside,Beach Club,Restaurant,45,650,https://bit.ly/3yyVsup,
,FINNS VIP Beach Club,"Jl. Pantai Berawa No.99, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",Kuta Utara,Badung,-8.6660826,115.1396806,Beachside,Beach Club,Restaurant,42,178,https://bit.ly/3yCfuV3,
,Echo Beach Club,"Jl. Raya Anyar No.24A, Kerobokan, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",Kuta Utara,Badung,-8.6488688,115.1619384,Beachside,Beach Club,Seafood,43,3138,https://bit.ly/44YtrIO,
,Yeh Gangga Beach Club by Uname,"Jl. Yeh Gangga I, Kabupaten Tabanan, Bali 82115",Sudimara,Tabanan,-8.5914323,115.0690213,Beachside,Beach Club,Restaurant,45,441,https://bit.ly/3QXn2bd,
,HQ Beach Lounge,"Jl. Pantai Kuta No.1, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361",Kuta,Badung,39.3624792,-74.4134948,Beachside,Beach Club,Grill,42,61,https://bit.ly/3R134wm,
,Summer House Beach Bar,"Legian, Kuta, Badung, Bali",Kuta,Badung,-8.7003371,115.1630627,Beachside,Beach Club,Bar,47,63,https://bit.ly/3KCQShL,
,Karma Beach,"Karma Kandara Bali, Jalan Villa Kandara, Selatan Ungasan, Kuta Selatan, Ungasan, Kec. Kuta, Kabupaten Badung, Bali 80362",Kuta Selatan,Badung,21.2930349,-89.6176941,Beachside,Beach Club,Beach club,46,1478,https://bit.ly/4bU981r,
,Potato Head Beach Club,"Petitenget St No.51B, Seminyak, Kuta Utara, Badung, Bali 80361",Kuta Utara,Badung,-8.6794353,115.1499342,Beachside,Beach Club,Restaurant,46,18594,https://bit.ly/3R3Svsm,
,Flamingo Beach Club Bali,"Jl. Pantai Saba, Saba, Kec. Blahbatuh, Kabupaten Gianyar, Bali 80581",Blahbatuh,Gianyar,-8.6086278,115.32176,Beachside,Beach Club,Restaurant,44,875,https://bit.ly/3Kiwylm,
,Oneeighty Dayclub,"Banjar Dinas Kangin Jl. Pura, Uluwatu, Jl. Goa Lempeh, Pecatu, Kabupaten Badung, Bali 80361",Kuta Selatan,Badung,-8.8462706,115.1251216,Beachside,Beach Club,Restaurant,46,1076,https://bit.ly/3VhO6Vg,
,El Kabron,"Jl. Pantai Cemongkak, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Kuta Selatan,Badung,-8.8018946,115.1173275,Beachside,Beach Club,Live Music,46,4930,https://bit.ly/3wUp4SD,
,The Beach Club Bar,"Jl. Nusa Dua, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Kuta Selatan,Badung,30.2303791,-87.8757629,Beachside,Beach Club,Bar,42,66,https://bit.ly/3VeFjDn,
,Spice Beach Bar,"Jl. Seririt- Singaraja No.225, Kaliasem, Kec. Banjar, Kabupaten Buleleng, Bali 81152",Banjar,Buleleng,-8.1641564,115.0212227,Beachside,Beach Club,Bar,43,800,https://bit.ly/3R13bYO,
,2.28 Beach Club,"ITDC Complex, Jl. Pantai Mengiat, NUSA DUA, Kec. Kuta Sel., Kabupaten Badung, Bali 80363",Kuta Selatan,Badung,-8.8086119,115.2253235,Beachside,Beach Club,Restaurant,49,7,https://bit.ly/3QWokD5,
,The Sand Beach Bar & Restaurant,"Jl. Arjuna, Seminyak, Kec. Kuta, Kabupaten Badung, Bali",Kuta,Badung,-8.6968211,115.1612545,Beachside,Beach Club,Grill,40,553,https://bit.ly/3WYMlNY,
,Favela Chic Beach Club,"Canggu, Kuta Utara, Badung, Bali",Kuta Utara,Badung,29.9632785,-90.0576072,Beachside,Beach Club,Bar,42,46,https://bit.ly/3V0sX0e,
,Klapa New Kuta Beach (Beach Club),"Jalan Raya Uluwatu, Kawasan Pecatu Indah Resort, Desa, Pecatu, South Kuta, Badung, Bali 80364",Kuta Selatan,Badung,-8.7989999,115.1188581,Beachside,Beach Club,Restaurant,43,1124,https://bit.ly/3Kjcakc,
,PARADISE BEACH CLUB,"Jl. PANTAI MELASTI, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali",Kuta Selatan,Badung,28.1875917,-80.5927474,Beachside,Beach Club,Bar,50,2,https://bit.ly/3wQyzSK,
,SUNNSAND BEACH CLUB,"Jl. Pratama No.99x, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Kuta Selatan,Badung,30.3704834,-86.3346406,Beachside,Beach Club,Restaurant,48,208,https://bit.ly/3R0pduy,
,SURGA BEACHCLUB,"Ungasan, South Kuta, Badung, Bali",Kuta Selatan,Badung,-8.847726,115.1550302,Beachside,Beach Club,Bar,44,31,https://bit.ly/3wQBYRu,
,Wayan Beach Club,"Pecatu, South Kuta, Badung, Bali",Kuta Selatan,Badung,-8.8453788,115.1114476,Beachside,Beach Club,Club,50,1,https://bit.ly/3R0Q5e0,
,Café del Mar Beach Club Bali,"Jl. Subak Sari, Canggu, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",Kuta Utara,Badung,-8.6707794,115.1445364,Beachside,Beach Club,Restaurant,45,2997,https://bit.ly/3yAbN2d,
,Hotel Komune and Beach Club Bali,"Pantai Keramas St, Medahan, Blahbatuh, Gianyar, Bali 80361",Blahbatuh,Gianyar,-8.5969915,115.3373058,Beachside,Beach Club,4-star hotel,46,1920,https://bit.ly/3WWudE8,
,Savaya Bali,"Jl. Belimbing Sari, Banjar Tambiyak, Pecatu, Uluwatu, Kabupaten Badung, Bali 80364",Kuta,Badung,-8.8464516,115.1407485,Beachside,Beach Club,Club,41,2239,https://bit.ly/3R2En2i,
,Suku Beach Club,"Nusa Ceningan, Jl. Sarang Burung, Dusun Batu, Melawang, Kabupaten Klungkung, Bali 80771",Lembongan,Klungkung,-8.7063738,115.4389371,Beachside,Beach Club,Beach club,47,189,https://bit.ly/3Vhblyw,
,Ole Beach Bar,"Jl. Melasti, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361",Kuta,Badung,-8.7087045,115.1671238,Beachside,Beach Club,Lounge,42,11,https://bit.ly/3wNsqa3,
,Beach Bar,"Jl. Pantai Mengiat, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali",Kuta Selatan,Badung,-8.8092096,115.2312962,Beachside,Beach Club,Bar,44,34,https://bit.ly/3VhOaEu,
,Alternative Beach,"Jl. Pantai Batu Bolong No.78, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",Kuta Utara,Badung,-8.654237,115.1332413,Beachside,Beach Club,Bar,47,465,https://bit.ly/3V0JpgS,
,The Lawn Canggu Beach Club,"Jl. Pura Dalem, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",Kuta Utara,Badung,-8.6584735,115.1297446,Beachside,Beach Club,Bar,43,3412,https://bit.ly/3VjXAPS,
,Nyala Beach Club & Grill,"Jl. Kusuma Sari No.8, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80227",Denpasar Selatan,Denpasar,-8.7068146,115.2623897,Beachside,Beach Club,Restaurant,43,15,https://bit.ly/3Rp6lpt,
,Beach Club Restaurant,"Jl. Cemara No.35, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228",Denpasar Selatan,Denpasar,41.9148939,-87.6264129,Beachside,Beach Club,Asian,44,290,https://bit.ly/3VhylxB,
,Wallaby Beach Bar,"Jl. Pantai, Legian Beach (opposite the Azul Beach, Legian, Kuta, Badung, Bali",Kuta,Badung,-8.7072812,115.1663508,Beachside,Beach Club,Bar,48,6,https://bit.ly/3QZYgHk,
,Sandy Bay Beach Club,"Jl. Sandy Bay, Lembongan, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771",Nusa Penida,Klungkung,-8.6888536,115.4299901,Beachside,Beach Club,Restaurant,44,1308,https://bit.ly/3Vet49Y,
,Sea Sky Beach Club Lovina,"Jl. Seririt- Singaraja, Tukadmungga, Kec. Buleleng, Singaraja, Bali 81119",Buleleng,Singaraja,-8.1392056,115.0504059,Beachside,Beach Club,Restaurant,36,52,https://bit.ly/3Vhyn8H,
,COMO Uma Canggu,"Jl. Pantai Batu Mejan, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",Kuta Utara,Badung,-8.654477,115.1258493,Beachside,Beach Club,5-star hotel,47,1276,https://bit.ly/3VjXyHK,
,Maruti Beach Club,"Banjar Nyuh Beach, Ped, Nusa Penida, Klungkung, Bali 80771",Nusa Penida,Klungkung,-8.6755922,115.489482,Beachside,Beach Club,Bar,42,528,https://bit.ly/3R36u1z,
,Naked Coconut,"Jl. Pantai Berawa, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali",Kuta Utara,Badung,-8.6683688,115.1406054,Beachside,Beach Club,Grill,46,177,https://bit.ly/3QZK3dz,
,Junior Beach Bar,"Jl. Kayu Aya No.17, Seminyak, Kec. Kuta, Kabupaten Badung, Denpasar, Bali",Kuta,Badung,29.7468239,-95.3901597,Beachside,Beach Club,Bar,50,7,https://bit.ly/4bVa2L4,
,Ella N Dut beach bar,"Jl. Pantai Legian, Legian, Kec. Kuta, Kabupaten Badung, Bali",Kuta,Badung,-8.7072875,115.1663166,Beachside,Beach Club,Bar,45,36,https://bit.ly/3KgYCp9,
,Sindy Surf & Beach Bar,"Jl. Pantai Kuta No.32, Legian, Kec. Kuta, Kabupaten Badung, Bali",Kuta,Badung,-8.7132578,115.1674663,Beachside,Beach Club,Bar,41,34,https://bit.ly/3WXbzw1,
,The Warung Beach Club Pantai Melasti,"Pantai Melasti, Jl. Pura Masuka, Ungasan, South Kuta, Badung, Bali 80364",Kuta,Badung,-8.8477908,115.1556163,Beachside,Beach Club,Restaurant,45,107,https://bit.ly/4bQgtPF,
,Wins beach bar tour organizer bali,"Legian, Kuta, Badung, Bali",Kuta,Badung,-8.7069988,115.1662063,Beachside,Beach Club,Bar,49,14,https://bit.ly/3WWJ01S,
,Agung Beach Club,"Jungutbatu, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771",Nusa Penida,Klungkung,-8.6658914,115.4650382,Beachside,Beach Club,Grill,46,425,https://bit.ly/3VgKClS,
,BARACK BEACH BAR,"Echo Beach Villa and Apartment, Jalan, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",Kuta Utara,Badung,-8.6539113,115.1241748,Beachside,Beach Club,Bar,42,41,https://bit.ly/3VdxxJY,
,Omma Dayclub Bali,"Kemenuh, Sukawati, Gianyar, Bali 80581",Sukawati,Gianyar,-8.5755996,115.2894134,Beachside,Beach Club,Restaurant,46,2511,https://bit.ly/4bwUWMh,
,W Vibes Bali,"Jl. Pantai Legian, Legian, Kec. Kuta, Kabupaten Badung, Bali",Kuta,Badung,-8.701311,115.1636693,Beachside,Beach Club,Bar,48,50,https://bit.ly/4byTBnU,
,707 Beachberm,"Jl. Batu Belig No.33 A, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",Kuta Utara,Badung,-8.6756975,115.1469714,Beachside,Beach Club,Restaurant,45,1102,https://bit.ly/3X2V0Pv,
,Flamingo Beach Club Parking,"Jl. Pantai Saba, Saba, Kec. Blahbatuh, Kabupaten Gianyar, Bali",Blahbatuh,Gianyar,44.9502682,-93.3141479,Beachside,Beach Club,Bar,42,5,https://bit.ly/3VcAdrb,
,Cookies Beach Bar,"Beach Melati Apartment, Jl. Padma Utara No.10, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361",Kuta,Badung,-8.7045752,115.1650365,Beachside,Beach Club,Bar,50,55,https://bit.ly/3UVvBEI,
,Manarai Beach House,"Lot N5 ITDC Tourism Complex, Jl. Nusa Dua, Benoa, South Kuta, Badung, Bali 80363",Kuta Selatan,Badung,-8.7913444,115.2311495,Beachside,Beach Club,Restaurant,47,1464,https://bit.ly/3VfUaNH,
,66 Club Bali,"Jl. Double Six No.66, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361",Kuta,Badung,-8.6965015,115.1616099,Beachside,Beach Club,Club,45,19,https://bit.ly/3WWG3y3,
,Tropicola Beach Club Bali,"Jl. Pantai Batu Belig No 5, Kerobokan Kelod, Kec. Kuta Utara, Seminyak, Kerobokan Kelod, Kuta Utara, Kabupaten Badung, Bali 80361",Kuta Utara,Badung,-8.675867,115.147641,Beachside,Beach Club,Restaurant,44,1041,https://bit.ly/3UWixPo,
,Klive Beach Club,"Jalan Villa Kandara Banjar Wijaya Kusuma, Ungasan, Uluwatu, Kabupaten Badung, Bali 80362",Ungasan,Badung,-8.8472501,115.1518434,Beachside,Beach Club,Restaurant,50,6,https://bit.ly/3WQT4cG,
,ARTOTEL Beach Club,"Jl. Danau Tamblingan No.35, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228",Denpasar Selatan,Denpasar,-8.6880672,115.2643708,Beachside,Beach Club,Restaurant,45,1695,https://bit.ly/3WWuKpC,
,Ohana's Beach Club,"Nusa Lembongan, Gg. Nusa Indah Jl. Jungutbatu, Jungutbatu, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80228",Nusa Penida,Klungkung,-8.6692756,115.4480525,Beachside,Beach Club,Restaurant,42,1149,https://bit.ly/4dWrDEe,
,Le Pirate Beach Club,"Jalan Nusa Ceningan, Klungkung, Lembongan, Nusa Penida, Klungkung, Bali 82218",Nusa Penida,Klungkung,-8.7005277,115.4429432,Beachside,Beach Club,3-star hotel,43,590,https://bit.ly/3VrPV21,