No,Destination Name,Address,Subdistrict,Regency,Latitude,Longitude,Category 1,Category 2,Category 3,,,,Google Reviews (Count),Source,Tourist Entry
,Pantai Kelingking,"Bunga Mekar, Nusa Penida, Klungkung, Bali 80771, Indonesia",Nusa Penida,Klungkung,-8.7503865,115.4726218,Public Beach,High Activity,,4.8,,12672,12645,https://maps.google.com/?cid=17187064246542532377,
,Pantai Seminyak,"Seminyak Beach, Bali, Indonesia",Kuta,Badung,-8.6920123,115.1578837,Public Beach,Sunset,,4.5,,4011,4005,https://maps.google.com/?cid=15907476594430349442,
,Pantai Green Bowl,"Green Bowl Beach, Ungasan, South Kuta, Badung, Bali, Indonesia",Kuta Selatan,Badung,-8.8486708,115.1710301,Hidden Beach,Wildlife,,4.6,,2429,2428,https://maps.google.com/?cid=31906383119477838,
,Pantai Amed,"Amed Beach, Bali, Indonesia",Kubu,Karangasem,-8.3354249,115.6576354,Public Beach,Mountain View,Snorkeling,4.5,,1486,1484,https://maps.google.com/?cid=10482330021474989879,
,Pantai Geger Nusa Dua,"Benoa, South Kuta, Badung, Bali, Indonesia",Kuta Selatan,Badung,-8.819863,115.223829,Hidden Beach,High Activity,,4.7,,992,986,https://maps.google.com/?cid=2859008951016956761,
,Pantai Suluban,"Suluban Beach, Bali, Indonesia",Kuta Selatan,Badung,-8.8160171,115.0882875,Hidden Beach,,,4.6,,1515,1509,https://maps.google.com/?cid=7744259499727167591,
,Diamond Beach,"Diamond Beach, 781, Iceland",Nusa Penida,Klungkung,64.044334,-16.1776622,Public Beach,High Activity,,4.8,,3333,5662,https://maps.google.com/?cid=4756619681124025434,
,Pantai Gunung Payung,"Pantai Gunung Payung, Kutuh, South Kuta, Badung, Bali, Indonesia",Kuta Selatan,Badung,-8.8407765,115.1998363,Public Beach,Mountain View,,4.6,,2586,2583,https://maps.google.com/?cid=1044587813798116222,
,Karma Beach,"C. 19 Lote por 38-A y 40, Miguel Hidalgo Chicxulub, 97330 Chicxulub, Yuc., Mexico",Kuta Selatan,Badung,21.2930349,-89.6176941,Beachside,Beach Club,,4,,1479,1479,https://maps.google.com/?cid=439478372778696515,
,Pantai Melasti,"Indonesia, Bali, Badung, South Kuta, Ungasan, Unnamed Road",Kuta Selatan,Badung,-8.8477419,115.1606704,Public Beach,,,4.8,,19670,19615,https://maps.google.com/?cid=15563386870082894763,
,Blue Lagoon,"649 Pinedale Rd, Huntsville, TX 77320, USA",Manggis,Karangasem,30.8135632,-95.6081414,Public Beach,Snorkeling,,3.8,,665,4230,https://maps.google.com/?cid=14284882034977966787,
,Crystal Bay,"Crystal Bay, NV, USA",Nusa Penida,Klungkung,39.2278272,-120.0047095,Hidden Beach,Snorkeling,,44,,8152,8152,"https://maps.google.com/?q=Crystal+Bay,+NV,+USA&ftid=0x80997ae9e8d046dd:0xb1448a8d915b5fe2",
,Sanur,"Sanur, Denpasar Selatan, Denpasar City, Bali, Indonesia",Denpasar Selatan,Denpasar,-8.694737,115.2630142,Public Beach,Water Sports,,45,,5337,5337,"https://maps.google.com/?q=Sanur,+Denpasar+Selatan,+Denpasar+City,+Bali,+Indonesia&ftid=0x2dd241b7d35f0b21:0x5030bfbca830e40",
,Tukad Cepung / Tegenungan,"Central parkir waterfall tukad cepung, Jl. Tembuku, Tembuku, Kec. Tembuku, Kabupaten Bangli, Bali 80671, Indonesia",Tambuku,Bangli,-8.4410173,115.3868079,Waterfall,Forest Trail,Cave,4.6,,3177,3177,https://maps.google.com/?cid=852205377985990719,
,Nyang Nyang Beach,"Nyang Nyang Beach, Jl. Raya Uluwatu Pecatu, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali, Indonesia",Kuta,Badung,-8.8391636,115.0934172,Hidden Beach,,,4.5,,1890,,https://maps.google.com/?cid=14178289282812774231,
,Pantai Pemutih,"no, Jl. Pemutih No.1A, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,-8.8087268,115.1071256,Public Beach,,,4.7,,62,,https://maps.google.com/?cid=12533787423165007091,
,Banyumala Twin Waterfalls,"Wanagiri, Sukasada, Buleleng, Bali 81161, Indonesia",Buleleng,Buleleng,-8.2171873,115.1016811,Waterfall,Forest Trail,,4.8,,4054,,https://maps.google.com/?cid=5678152788690674583,
,Sayan Point ,"Sayan, Ubud, Gianyar, Bali 80571, Indonesia",Gianyar,Gianyar,-8.500014,115.244587,,Mountain View,Restaurant,4.5,,557,,https://maps.google.com/?cid=655226956627218045,
,Lahangan Sweet,"Banjar Dinas Gulinten, Bunutan, Kec. Abang, Kabupaten Karangasem, Bali 80852, Indonesia",Banjar,Buleleng,-8.3721589,115.6371092,,Mountain View,Restaurant,4.6,,835,,https://maps.google.com/?cid=4253306309848114082,
,Mount Batur Viewpoint ,"Central Batur, Kintamani, Bangli, Bali 80652, Indonesia",Bangli,Bangli,-8.2827971,115.3648096,Mountain,Mountain View,,4.7,,736,,https://maps.google.com/?cid=2374351162504994507,
,Gembleng Waterfall,"Unnamed Road, Tri Eka Buana, Kec. Sidemen, Kabupaten Karangasem, Bali 80864, Indonesia",Karangasem,Karangasem,-8.4926826,115.460857,Waterfall,,,4.7,,954,,https://maps.google.com/?cid=16229773453783102497,
,Ubud Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Gianyar,Gianyar,-8.5193727,115.2606299,Forest,Forest Trail,,4.5,,47496,,https://maps.google.com/?cid=13180983972448944982,
,Karang Boma Cliff,"Unnamed Road, Pecatu, South Kuta, Badung, Bali, Indonesia",Kuta,Badung,-8.8345366,115.0877251,Beachside,Sunset,,4.6,,1453,,https://maps.google.com/?cid=13106414912584324304,
,Leke Leke Waterfall,"Kerobokan, Jl. Swadaya, Mekarsari, Kec. Baturiti, Kabupaten Tabanan, Bali 82191, Indonesia",Tabanan,Tabanan,-8.3666011,115.1978215,Waterfall,Forest Trail,,4.4,,2042,,https://maps.google.com/?cid=8901792961029645137,
,Tirta Empul Temple ,"Tampaksiring, Gianyar, Bali 80552, Indonesia",Gianyar,Gianyar,-8.4156589,115.3153284,Temple,High Activity,,4.6,,22644,,https://maps.google.com/?cid=6026478213714472129,
,Jembong Waterfall,"Ambengan, Sukasada, Buleleng, Bali 81161, Indonesia",Buleleng,Buleleng,-8.188461,115.1171296,Waterfall,Forest Trail,,4.5,,777,,https://maps.google.com/?cid=10070606746194464983,
,Canyon Beji Guwang,"97QQ+XMM, Jl. Sahadewa, Banjar Wangbung, Guwang, Kec. Sukawati, Kabupaten Gianyar, Bali 80582, Indonesia",Banjar,Buleleng,-8.609527,115.2890415,Canyon,Forest Trail,,4.5,,2773,,https://maps.google.com/?cid=7941537567417319035,
,Bali Botanic Garden,"Candikuning, Baturiti, Tabanan, Bali 82191, Indonesia",Tabanan,Tabanan,-8.2794447,115.1566271,Park,High Activity,,4.5,,2220,,https://maps.google.com/?cid=17580880696771226571,
,Bambu Indah,"Jl. Baung, Sayan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Gianyar,Gianyar,-8.5121895,115.2384593,Park,,4-star hotel,4.7,,1079,,https://maps.google.com/?cid=2665294499682083406,
,Rumah Pohon,"6JC8+HPW, Pejukutan, Nusa Penida, Klungkung, Bali 80771, Indonesia",Klungkung,Klungkung,-8.7785108,115.6168404,Beachside,,,4.1,,1218,,https://maps.google.com/?cid=3947704561514970536,
,Yellow Bridge Nusa Lembongan,"Jl. Yellow Bridge, 80771, Indonesia",Nusa Lembongan,Badung,-8.6942155,115.450995,Bridge,High Activity,,,,,,"https://maps.google.com/?q=Jl.+Yellow+Bridge,+80771,+Indonesia&ftid=0x2dd26deab5290e0b:0x5bf0302132734928",
,Taman Festival Bali,"Jl. Padang Galak No.3, Kesiman, Kec. Denpasar Tim., Kota Denpasar, Bali, Indonesia",Denpasar Timur,Denpasar,-8.6575124,115.2654034,Park,Forest Trail,,4.4,,1703,,https://maps.google.com/?cid=14544847051615569636,