No,Destination Name,Address,Subdistrict,Regency,Latitude,Longitude,Rating,Google Reviews (Count),Category,Source
,Livingstone Holyground,Jl. Raya Andong No.88x,Ubud,Gianyar,-8.504623,115.2720235,48,1092,Coffee shop,https://www.google.com/maps/place/Livingstone+Holyground/data=!4m7!3m6!1s0x2dd23d96a16fd43d:0x5362f4aadd0edb14!8m2!3d-8.504623!4d115.2720235!16s%2Fg%2F11khcc4_kt!19sChIJPdRvoZY90i0RFNsO3ar0YlM?authuser=0&hl=en&rclk=1
,Den~O Coffee Ubud,Jl. Raya Lungsiakan No.44,Ubud,Gianyar,-8.4855994,115.2470674,48,179,Cafe,https://www.google.com/maps/place/Den~O+Coffee+Ubud/data=!4m7!3m6!1s0x2dd223c653482ef5:0x6ac89929ea53c934!8m2!3d-8.4855994!4d115.2470674!16s%2Fg%2F11q95jn7lt!19sChIJ9S5IU8Yj0i0RNMlT6imZyGo?authuser=0&hl=en&rclk=1
,Koko Cafe,Jl. Raya Kedewatan,Ubud ,Gianyar,31.0831498,-97.6485382,45,69,Cafe,https://www.google.com/maps/place/Koko+Cafe/data=!4m7!3m6!1s0x2dd23d2dba1673f9:0xc3f22b1f52b5e3d7!8m2!3d-8.4801106!4d115.2472295!16s%2Fg%2F11cn9pwfrh!19sChIJ-XMWui090i0R1-O1Uh8r8sM?authuser=0&hl=en&rclk=1
,The Elephant,"Hotel Taman Indrakila, Jl. Raya Sanggingan",Ubud ,Gianyar,36.0918741,-95.9420866,45,864,Cafe,https://www.google.com/maps/place/The+Elephant/data=!4m7!3m6!1s0x2dd23d30b015cc97:0x9e34a50eba95d9a3!8m2!3d-8.4989067!4d115.2534587!16s%2Fg%2F11b6gq479z!19sChIJl8wVsDA90i0Ro9mVug6lNJ4?authuser=0&hl=en&rclk=1
,Tunas Bali Luwak Coffee,Jl. Raya Ababi,Karangasem,Karangasem,-8.4014835,115.5906911,41,189,Cafe,https://www.google.com/maps/place/Tunas+Bali+Luwak+Coffee/data=!4m7!3m6!1s0x2dd2078e0b7ac259:0x527b5cb0ea3a738e!8m2!3d-8.4014835!4d115.5906911!16s%2Fg%2F11fj8jqqdz!19sChIJWcJ6C44H0i0RjnM66rBce1I?authuser=0&hl=en&rclk=1
,Intan sari luwak coffee & bali swing bukit,"Tampaksiring, Gianyar, Bali 80552",Ubud,Gianyar,-8.4451294,115.3106114,45,169,Cafe,https://www.google.com/maps/place/Intan+sari+luwak+coffee+%26+bali+swing+bukit/data=!4m7!3m6!1s0x2dd219a4b513e387:0x5676ee86db860142!8m2!3d-8.4451294!4d115.3106114!16s%2Fg%2F11hzmnpr90!19sChIJh-MTtaQZ0i0RQgGG24budlY?authuser=0&hl=en&rclk=1
,JEZERA CAFE,Jl. Windu Sara,Bangli,Bangli,-8.2790204,115.3670866,41,167,Cafe,https://www.google.com/maps/place/JEZERA+CAFE/data=!4m7!3m6!1s0x2dd1f57a3ce205b1:0x875da8d32f5b54c0!8m2!3d-8.2790204!4d115.3670866!16s%2Fg%2F11pz3vxpw2!19sChIJsQXiPHr10S0RwFRbL9OoXYc?authuser=0&hl=en&rclk=1
,Bali Pulina,Jl. Raya Pujung Kaja No.Br,Ubud,Gianyar,-8.422796,115.2790384,45,4539,Cafe,https://www.google.com/maps/place/Bali+Pulina/data=!4m7!3m6!1s0x2dd222990001f90b:0x46117dc3c84b0af2!8m2!3d-8.422796!4d115.2790384!16s%2Fg%2F11bc7r5jvk!19sChIJC_kBAJki0i0R8gpLyMN9EUY?authuser=0&hl=en&rclk=1
,Pemulan Bali Coffee Plantation(FREE TASTING),Jl. Raya Kintamani No.16,Kintamani,Bangli,-8.4016836,115.3251017,47,801,Orchard,https://www.google.com/maps/place/Pemulan+Bali+Coffee+Plantation%28FREE+TASTING%29/data=!4m7!3m6!1s0x2dd21930d85f7f61:0xf2837f3432cd2dc4!8m2!3d-8.4016836!4d115.3251017!16s%2Fg%2F11k9p2qg9m!19sChIJYX9f2DAZ0i0RxC3NMjR_g_I?authuser=0&hl=en&rclk=1
,Pubas Space,Jl. Sri Wedari No.70,Ubud,Gianyar,-8.4967636,115.2664522,47,1016,Restaurant,https://www.google.com/maps/place/Pubas+Space/data=!4m7!3m6!1s0x2dd23dc5b2a94d07:0x4476825040949f44!8m2!3d-8.4967636!4d115.2664522!16s%2Fg%2F11qqf5ynq_!19sChIJB02pssU90i0RRJ-UQFCCdkQ?authuser=0&hl=en&rclk=1
,Cat Cafe Ubud,Jl. Raya Pengosekan,Ubud,Gianyar,-8.5210828,115.2630475,44,370,Cafe,https://www.google.com/maps/place/Cat+Cafe+Ubud/data=!4m7!3m6!1s0x2dd23d7462a22547:0xab6766b474be4f31!8m2!3d-8.5210828!4d115.2630475!16s%2Fg%2F11bzq48q_x!19sChIJRyWiYnQ90i0RMU--dLRmZ6s?authuser=0&hl=en&rclk=1
,Kumulilir,Jl. Raya Pujung Kaja,Ubud,Gianyar,-8.4137791,115.281722,46,797,Cafe,https://www.google.com/maps/place/Kumulilir/data=!4m7!3m6!1s0x2dd222087b0e5561:0xbd7e0295b5806460!8m2!3d-8.4137791!4d115.281722!16s%2Fg%2F11c54ckx4m!19sChIJYVUOewgi0i0RYGSAtZUCfr0?authuser=0&hl=en&rclk=1
,Nadi Farm Cafe,"Behind Kantor Perbekel Desa Angseri, Desa Angseri, Kabupaten",Baturiti ,Tabanan,43.0370399,-88.191185,49,72,Cafe,https://www.google.com/maps/place/Nadi+Farm+Cafe/data=!4m7!3m6!1s0x2dd22707f0cbb74f:0x7143cd76eca9819f!8m2!3d-8.3634944!4d115.1643976!16s%2Fg%2F11tfxsn_y_!19sChIJT7fL8Acn0i0Rn4Gp7HbNQ3E?authuser=0&hl=en&rclk=1
,Monsieur Spoon Ubud,Jl. Hanoman No.10,Ubud,Gianyar,-8.5172935,115.263771,43,1932,Cafe,https://www.google.com/maps/place/Monsieur+Spoon+Ubud/data=!4m7!3m6!1s0x2dd23d724fddbef5:0x19e400bf97dd64de!8m2!3d-8.5172935!4d115.263771!16s%2Fg%2F11ckvkkfs1!19sChIJ9b7dT3I90i0R3mTdl78A5Bk?authuser=0&hl=en&rclk=1
,Acai Queen,Jl. Gootama No.02,Ubud,Gianyar,-8.5082637,115.2642659,48,2083,Cafe,https://www.google.com/maps/place/Acai+Queen/data=!4m7!3m6!1s0x2dd23d6bb703f52f:0xee32f500e9d68713!8m2!3d-8.5082637!4d115.2642659!16s%2Fg%2F11d_8lxdxz!19sChIJL_UDt2s90i0RE4fW6QD1Mu4?authuser=0&hl=en&rclk=1
,WYAH Art & Creative Space,Jl. RSI Markandya II,Ubud,Gianyar,-8.4790324,115.255992,43,1601,Art cafe,https://www.google.com/maps/place/WYAH+Art+%26+Creative+Space/data=!4m7!3m6!1s0x2dd2230dbbd54f29:0xde0b2ffd47c1e26!8m2!3d-8.4790324!4d115.255992!16s%2Fg%2F11rs9yrbb7!19sChIJKU_Vuw0j0i0RJh581P-y4A0?authuser=0&hl=en&rclk=1
,Desa Kopi Bali,"Baru Baru, Kec. Marga, Kabupaten Tabanan, Bali 82191",Tabanan,Tabanan,-8.3995545,115.1789681,47,212,Espresso bar,https://www.google.com/maps/place/Desa+Kopi+Bali/data=!4m7!3m6!1s0x2dd22783e98763ed:0x6e93b407a5503c99!8m2!3d-8.3995545!4d115.1789681!16s%2Fg%2F11lg0dzy99!19sChIJ7WOH6YMn0i0RmTxQpQe0k24?authuser=0&hl=en&rclk=1
,Pubas Space,Jl. Sri Wedari No.70,Ubud,Gianyar,-8.4967636,115.2664522,47,1016,Restaurant,https://www.google.com/maps/place/Pubas+Space/data=!4m7!3m6!1s0x2dd23dc5b2a94d07:0x4476825040949f44!8m2!3d-8.4967636!4d115.2664522!16s%2Fg%2F11qqf5ynq_!19sChIJB02pssU90i0RRJ-UQFCCdkQ?authuser=0&hl=en&rclk=1
,Paperhills,Penelokan Main Rd,Bangli,Bangli,-8.2691285,115.3432578,45,2352,Coffee shop,https://www.google.com/maps/place/Paperhills/data=!4m7!3m6!1s0x2dd1f5882e4fcabf:0x35aed82ae2b88625!8m2!3d-8.2691285!4d115.3432578!16s%2Fg%2F11nmjpjpv9!19sChIJv8pPLoj10S0RJYa44irYrjU?authuser=0&hl=en&rclk=1
,Alchemy Bali,Jl. Penestanan Kelod No.75,Ubud,Gianyar,-8.5063939,115.2516442,43,2062,Vegan,https://www.google.com/maps/place/Alchemy+Bali/data=!4m7!3m6!1s0x2dd23d16291588f1:0xcbc854861108956e!8m2!3d-8.5063939!4d115.2516442!16s%2Fg%2F11b6p_8lg2!19sChIJ8YgVKRY90i0RbpUIEYZUyMs?authuser=0&hl=en&rclk=1
,Casa Balian Cafe,Jl. Pantai Balian,Tabanan,Tabanan,-8.5018342,114.9657988,48,92,Cafe,https://www.google.com/maps/place/Casa+Balian+Cafe/data=!4m7!3m6!1s0x2dd22d88e50a50bf:0x73b1278dd684fb05!8m2!3d-8.5018342!4d114.9657988!16s%2Fg%2F11c6qtk9xl!19sChIJv1AK5Ygt0i0RBfuE1o0nsXM?authuser=0&hl=en&rclk=1
,SUKSMA KOPI UBUD,Jl. Sukma Kesuma No.1,Ubud,Gianyar,-8.5100818,115.2689894,49,181,Coffee shop,https://www.google.com/maps/place/SUKSMA+KOPI+UBUD/data=!4m7!3m6!1s0x2dd23d6136961dbd:0xfb3fbe7f3d0d5ff5!8m2!3d-8.5100818!4d115.2689894!16s%2Fg%2F11tp6p37c3!19sChIJvR2WNmE90i0R9V8NPX--P_s?authuser=0&hl=en&rclk=1
,AKASA Specialty Coffee,Penelokan Main Rd No.777,Bangli,Bangli,-8.2796067,115.3575395,46,4845,Coffee shop,https://www.google.com/maps/place/AKASA+Specialty+Coffee/data=!4m7!3m6!1s0x2dd1f5e1984fef6b:0xa5be2accdf6b4ba8!8m2!3d-8.2796067!4d115.3575395!16s%2Fg%2F11h0_k_2r1!19sChIJa-9PmOH10S0RqEtr38wqvqU?authuser=0&hl=en&rclk=1
,Mahen Cafe,Penelokan Main Rd,Bangli,Bangli,-8.2812623,115.3621795,46,300,Cafe,https://www.google.com/maps/place/Mahen+Cafe/data=!4m7!3m6!1s0x2dd1f5501c41db5f:0x6ed8ca70f1c8d19b!8m2!3d-8.2812623!4d115.3621795!16s%2Fg%2F11qh26fbvk!19sChIJX9tBHFD10S0Rm9HI8XDK2G4?authuser=0&hl=en&rclk=1
,"Mr. Wayan, Coffee & Eatery","Br. Bentuyung, Jl. Suweta",Ubud,Gianyar,-8.4907656,115.2651606,48,573,Cafe,"https://www.google.com/maps/place/Mr.+Wayan,+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2dd23d494511b715:0xc6cf27fe5f78d4d6!8m2!3d-8.4907656!4d115.2651606!16s%2Fg%2F11cjh_vz5g!19sChIJFbcRRUk90i0R1tR4X_4nz8Y?authuser=0&hl=en&rclk=1"
,Sisi Gege Restaurant,Jl. Raya Kintamani,Bangli,Bangli,-8.2601266,115.3368384,50,15,Coffee shop,https://www.google.com/maps/place/Sisi+Gege+Restaurant/data=!4m7!3m6!1s0x2dd1f5453ba1edcf:0x41a15e5b513cf557!8m2!3d-8.2601266!4d115.3368384!16s%2Fg%2F11pv5_8c24!19sChIJz-2hO0X10S0RV_U8UVteoUE?authuser=0&hl=en&rclk=1
,Alam Bali Agrowisata - Bali Kopi Luwak,"Jalan Raya Tegal Suci, Desa TegallalangTempat kopi plantation serta kafe casual",Ubud,Gianyar,-8.3327684,115.3224863,42,113,Coffee roasters,https://www.google.com/maps/place/Alam+Bali+Agrowisata+-+Bali+Kopi+Luwak/data=!4m7!3m6!1s0x2dd21fcefed31c07:0x14f220e7d2d8bfa5!8m2!3d-8.3327684!4d115.3224863!16s%2Fg%2F11b7hl7914!19sChIJBxzT_s4f0i0Rpb_Y0ucg8hQ?authuser=0&hl=en&rclk=1
,Cafe Tahu,"Km.37, Bedugul, Jl. Raya Denpasar",Tabanan,Tabanan,-8.3651791,115.1917814,43,998,Restaurant,https://www.google.com/maps/place/Cafe+Tahu/data=!4m7!3m6!1s0x2dd220d4660ced4b:0x5794916982d20da!8m2!3d-8.3651791!4d115.1917814!16s%2Fg%2F1hm5gwpbq!19sChIJS-0MZtQg0i0R2iAtmBZJeQU?authuser=0&hl=en&rclk=1
,MAMU Ubud Cafe Shisha,Jl. Made Lebah,Ubud,Gianyar,-8.5242037,115.2652373,44,646,Cafe,https://www.google.com/maps/place/MAMU+Ubud+Cafe+Shisha/data=!4m7!3m6!1s0x2dd23d5f3049ea63:0xd9ee356e710b0df7!8m2!3d-8.5242037!4d115.2652373!16s%2Fg%2F11fnwct8vf!19sChIJY-pJMF890i0R9w0LcW417tk?authuser=0&hl=en&rclk=1
,Kakiang Bakery & Cafe,Jl. Raya Pengosekan Ubud,Ubud,Gianyar,-8.519951,115.263175,45,1402,Cafe,https://www.google.com/maps/place/Kakiang+Bakery+%26+Cafe/data=!4m7!3m6!1s0x2dd23d7382f72f53:0x23637335f6964c26!8m2!3d-8.519951!4d115.263175!16s%2Fg%2F1hm28yzcd!19sChIJUy_3gnM90i0RJkyW9jVzYyM?authuser=0&hl=en&rclk=1
,Snow Jam Cafe - Ubud,Jl. Raya Sanggingan No.40,Ubud,Gianyar,-8.4978001,115.253104,48,551,Cafe,https://www.google.com/maps/place/Snow+Jam+Cafe+-+Ubud/data=!4m7!3m6!1s0x2dd23d9625626e5b:0xf020b46cab0d25f!8m2!3d-8.4978001!4d115.253104!16s%2Fg%2F11h1yfrlxd!19sChIJW25iJZY90i0RX9KwykYLAg8?authuser=0&hl=en&rclk=1
,Fuzion Cafe,Jl. Raya Lungsiakan,Ubud,Gianyar,32.2713279,-84.9992218,46,574,Cafe,https://www.google.com/maps/place/Fuzion+Cafe/data=!4m7!3m6!1s0x2dd23d332832009d:0xd3dc771926f6e252!8m2!3d-8.4864683!4d115.2515563!16s%2Fg%2F113gqmp2m!19sChIJnQAyKDM90i0RUuL2Jhl33NM?authuser=0&hl=en&rclk=1
,The Organic Farm & Cafe Bali,Angseri,Baturiti,Tabanan,40.011686,-104.1786879,46,98,Cafe,https://www.google.com/maps/place/The+Organic+Farm+%26+Cafe+Bali/data=!4m7!3m6!1s0x2dd22712a9a4a5a5:0xdb098c6110b184d2!8m2!3d-8.3519357!4d115.1532371!16s%2Fg%2F1hdzc18_8!19sChIJpaWkqRIn0i0R0oSxEGGMCds?authuser=0&hl=en&rclk=1
,Double Barrel Cafe,Jl. Silayukti,Manggis,Karangasem,47.4950535,-111.281438,45,37,Coffee shop,https://www.google.com/maps/place/Double+Barrel+Cafe/data=!4m7!3m6!1s0x2dd20e68685bf497:0xa53880c8ea2f23bc!8m2!3d-8.5299699!4d115.509063!16s%2Fg%2F11byzf3sds!19sChIJl_RbaGgO0i0RvCMv6siAOKU?authuser=0&hl=en&rclk=1
,A.R.A.K. Coffee,Jl. Raya Campuhan No.88,Ubud,Gianyar,-8.5040245,115.2532151,45,81,Cafe,https://www.google.com/maps/place/A.R.A.K.+Coffee/data=!4m7!3m6!1s0x2dd23d3ddb6a60f1:0xf42cba0c39d07149!8m2!3d-8.5040245!4d115.2532151!16s%2Fg%2F11gfdrr3jd!19sChIJ8WBq2z090i0RSXHQOQy6LPQ?authuser=0&hl=en&rclk=1
,Awake Cafe,Jl. Sukma Kesuma No.11A,Ubud,Gianyar,32.9610472,-96.8194411,47,257,Turkish,https://www.google.com/maps/place/Awake+Cafe/data=!4m7!3m6!1s0x2dd23d4d1a8a40af:0xcb8fe7fdf6ab18bc!8m2!3d-8.5113564!4d115.2686381!16s%2Fg%2F11fvb_j8z9!19sChIJr0CKGk090i0RvBir9v3nj8s?authuser=0&hl=en&rclk=1
,Café Sukka Baturiti,Jl. Raya Baturiti,Tabanan,Tabanan,-8.3267362,115.1861051,49,468,Cafe,https://www.google.com/maps/place/Caf%C3%A9+Sukka+Baturiti/data=!4m7!3m6!1s0x2dd189e437216271:0x8fe093ba4cdda58b!8m2!3d-8.3267362!4d115.1861051!16s%2Fg%2F11q1g8c9hv!19sChIJcWIhN-SJ0S0Ri6XdTLqT4I8?authuser=0&hl=en&rclk=1
,Kalos Bali,Jl. Gn. Sari,Ubud,Gianyar,-8.5094337,115.2753001,48,126,Cafe,https://www.google.com/maps/place/Kalos+Bali/data=!4m7!3m6!1s0x2dd23d6b3472ddab:0xb8f734b408d519c4!8m2!3d-8.5094337!4d115.2753001!16s%2Fg%2F11y1s83fkx!19sChIJq91yNGs90i0RxBnVCLQ097g?authuser=0&hl=en&rclk=1
,Double Fat Cafè,Jl. Tegal Sari No.3,Ubud,Gianyar,-8.5056778,115.2638856,47,108,Cafe,https://www.google.com/maps/place/Double+Fat+Caf%C3%A8/data=!4m7!3m6!1s0x2dd23db20d7e86d5:0xd210b0f389797747!8m2!3d-8.5056778!4d115.2638856!16s%2Fg%2F11j2c0ysyc!19sChIJ1YZ-DbI90i0RR3d5ifOwENI?authuser=0&hl=en&rclk=1
,Chris’ Café & Pool Bar,"Asli Bali Villa, Banjar Jelekungkang",Bangli,Bangli,38.3664443,-95.1274495,50,9,Espresso bar,https://www.google.com/maps/place/Chris%E2%80%99+Caf%C3%A9+%26+Pool+Bar/data=!4m7!3m6!1s0x2dd21708bae37d31:0x7705e74b0c7f7ed6!8m2!3d-8.4985917!4d115.3511525!16s%2Fg%2F11t5sfw3wj!19sChIJMX3juggX0i0R1n5_DEvnBXc?authuser=0&hl=en&rclk=1
,"Pison, Ubud",Jl. Hanoman No.10X,Ubud,Gianyar,-8.5182718,115.2636307,45,4158,Restaurant,"https://www.google.com/maps/place/Pison,+Ubud/data=!4m7!3m6!1s0x2dd23d7a21850c65:0x85cf8a5235a336aa!8m2!3d-8.5182718!4d115.2636307!16s%2Fg%2F11hdqwr36k!19sChIJZQyFIXo90i0RqjajNVKKz4U?authuser=0&hl=en&rclk=1"
,Folk Pool & Gardens,Jl. Monkey Forest,Ubud,Gianyar,-8.5139603,115.2605443,44,1606,Restaurant,https://www.google.com/maps/place/Folk+Pool+%26+Gardens/data=!4m7!3m6!1s0x2dd23d6d312ec233:0x1fa9dbb0c25060ab!8m2!3d-8.5139603!4d115.2605443!16s%2Fg%2F11cjj07gmw!19sChIJM8IuMW090i0Rq2BQwrDbqR8?authuser=0&hl=en&rclk=1
,Daily Baguette Ubud,Jl. Raya Ubud No.27,Ubud,Gianyar,-8.5058906,115.2599007,45,1498,Cafe,https://www.google.com/maps/place/Daily+Baguette+Ubud/data=!4m7!3m6!1s0x2dd23e10a957ee17:0x47d5c20d9f6607ec!8m2!3d-8.5058906!4d115.2599007!16s%2Fg%2F11bxf4448q!19sChIJF-5XqRA-0i0R7Admnw3C1Uc?authuser=0&hl=en&rclk=1
,Bun Bali Cafe,Jl. Goutama Sel.,Ubud,Gianyar,-8.5110008,115.2638498,48,181,Cafe,https://www.google.com/maps/place/Bun+Bali+Cafe/data=!4m7!3m6!1s0x2dd23d6c6f73fdbf:0xc9b79150e98bed69!8m2!3d-8.5110008!4d115.2638498!16s%2Fg%2F11dxdc4712!19sChIJv_1zb2w90i0Rae2L6VCRt8k?authuser=0&hl=en&rclk=1
,Ubud Fairy Village Café,"Kusuma, Jl. Sukma Kesuma No.31",Ubud,Gianyar,-8.513252,115.2679723,44,36,Children's museum,https://www.google.com/maps/place/Ubud+Fairy+Village+Caf%C3%A9/data=!4m7!3m6!1s0x2dd23dfeb834b061:0xa8efba1363c4e488!8m2!3d-8.513252!4d115.2679723!16s%2Fg%2F11jlhh5ybx!19sChIJYbA0uP490i0RiOTEYxO676g?authuser=0&hl=en&rclk=1
,Lumbini cafe,Jl. Raya Pengosekan Jl. Made Lebah No.7X,Ubud,Gianyar,22.5439903,88.285231,47,25,Cafe,https://www.google.com/maps/place/Lumbini+cafe/data=!4m7!3m6!1s0x2dd2231a7e36539b:0xa6def442b15d6e35!8m2!3d-8.5239892!4d115.2664817!16s%2Fg%2F11p010tv0h!19sChIJm1M2fhoj0i0RNW5dsUL03qY?authuser=0&hl=en&rclk=1
,STARBUCKS KINTAMANI BALI,"Central Batur, Kintamani, Bangli, Bali 80256",Bangli,Bangli,-8.2715199,115.3462054,46,558,Coffee shop,https://www.google.com/maps/place/STARBUCKS+KINTAMANI+BALI/data=!4m7!3m6!1s0x2dd1f5dcaba87a11:0xffe5fc7874121a93!8m2!3d-8.2715199!4d115.3462054!16s%2Fg%2F11ss9hz7d5!19sChIJEXqoq9z10S0RkxoSdHj85f8?authuser=0&hl=en&rclk=1
,Oneway Espresso,Jl. I Ketut Natih,Karangasem,Karangasem,-8.3338589,115.6394779,47,314,Coffee shop,https://www.google.com/maps/place/Oneway+Espresso/data=!4m7!3m6!1s0x2dd201d15f26d6d9:0x2dce09053aecfc6f!8m2!3d-8.3338589!4d115.6394779!16s%2Fg%2F11t756yptn!19sChIJ2dYmX9EB0i0Rb_zsOgUJzi0?authuser=0&hl=en&rclk=1
,T'dung Restaurant Pool & Bar,"Kenderan, Tegallalang, Gianyar, Bali 80552",Ubud,Gianyar,-8.4737548,115.285478,48,67,Cafe,https://www.google.com/maps/place/T%27dung+Restaurant+Pool+%26+Bar/data=!4m7!3m6!1s0x2dd2435cad2ada13:0x1bf5fef5b9a0c364!8m2!3d-8.4737548!4d115.285478!16s%2Fg%2F11knnf2t4v!19sChIJE9oqrVxD0i0RZMOgufX-9Rs?authuser=0&hl=en&rclk=1
,ATTALAS,Penelokan Main Rd,Bangli,Bangli,-8.2766475,115.3505086,44,146,Coffee shop,https://www.google.com/maps/place/ATTALAS/data=!4m7!3m6!1s0x2dd1f579afd7161f:0xc4036299583a290a!8m2!3d-8.2766475!4d115.3505086!16s%2Fg%2F11qg9ylm_5!19sChIJHxbXr3n10S0RCik6WJliA8Q?authuser=0&hl=en&rclk=1
,Milos Cafe Ubud,Jl. Raya Ubud No.51,Ubud,Gianyar,-8.508947,115.268965,47,208,Restaurant,https://www.google.com/maps/place/Milos+Cafe+Ubud/data=!4m7!3m6!1s0x2dd23d7f51258787:0x2efdb5fae14c7b1e!8m2!3d-8.508947!4d115.268965!16s%2Fg%2F11rv3tw745!19sChIJh4clUX890i0RHntM4fq1_S4?authuser=0&hl=en&rclk=1
,Matcha Cafe Bali,Jl. Pantai Berawa No.99,Kuta,Badung,-8.6604116,115.1395497,44,598,Cafe,https://www.google.com/maps/place/Matcha+Cafe+Bali/data=!4m7!3m6!1s0x2dd24782274743ff:0x7cb9088236314042!8m2!3d-8.6604116!4d115.1395497!16s%2Fg%2F11fy1n9xff!19sChIJ_0NHJ4JH0i0RQkAxNoIIuXw?authuser=0&hl=en&rclk=1
,Tutmak warung kopi,Jl. Dewisita No.Desa,Ubud,Gianyar,-8.5097688,115.2622033,40,463,Cafe,https://www.google.com/maps/place/Tutmak+warung+kopi/data=!4m7!3m6!1s0x2dd23d13562e31a5:0x8b444f2691fe8139!8m2!3d-8.5097688!4d115.2622033!16s%2Fg%2F11h03yywb!19sChIJpTEuVhM90i0ROYH-kSZPRIs?authuser=0&hl=en&rclk=1
,el lago,Penelokan Main Rd No.899,Batur Selatan,Bangli,42.455168,-87.825795,47,5177,Cafe,https://www.google.com/maps/place/el+lago/data=!4m7!3m6!1s0x2dd1f57ddc1f5c2f:0xd22074e770cf737d!8m2!3d-8.2674591!4d115.342025!16s%2Fg%2F11hhz7lpfx!19sChIJL1wf3H310S0RfXPPcOd0INI?authuser=0&hl=en&rclk=1